.,il,0.14285714,la,0.14285714,le,0.07142857,pioveva,0.07142857,allora,0.07142857,un,0.07142857,tamburellava,0.07142857,aveva,0.07142857,suo,0.07142857,nell’autunno,0.07142857,bill,0.07142857,l’aveva,0.07142857
il,terrore,0.25000000,semaforo,0.25000000,bambino,0.25000000,vetro,0.25000000
disposte,in,1.00000000
verticale,su,1.00000000
su,tutti,0.50000000,una,0.50000000
tutti,i,1.00000000
lati,del,1.00000000
del,semaforo,0.20000000,1957,0.40000000,bimbo,0.20000000,salotto,0.20000000
erano,spente,0.25000000,anche,0.25000000,alzati,0.25000000,rimasti,0.25000000
spente,,,0.50000000,erano,0.50000000
pomeriggio,d’autunno,1.00000000
d’autunno,del,1.00000000
1957,,,1.00000000
anche,le,0.50000000,fra,0.50000000
finestre,di,1.00000000
tutte,le,1.00000000
case,.,1.00000000
pioveva,ininterrottamente,1.00000000
ininterrottamente,ormai,1.00000000
ormai,da,1.00000000
da,una,0.50000000,due,0.50000000
settimana,e,1.00000000
due,giorni,1.00000000
giorni,si,1.00000000
alzati,i,1.00000000
venti,.,1.00000000
allora,quasi,1.00000000
quasi,tutti,0.50000000,intimo,0.50000000
quartieri,di,1.00000000
derry,erano,0.50000000,(e,0.50000000
rimasti,senza,1.00000000
senza,corrente,0.50000000,posa,0.50000000
corrente,e,1.00000000
l’erogazione,non,1.00000000
non,era,1.00000000
era,stata,0.25000000,tutt’altro,0.25000000,george,0.25000000,a,0.25000000
stata,ancora,1.00000000
ancora,ripristinata,1.00000000
ripristinata,.,1.00000000
bambino,in,0.50000000,con,0.50000000
impermeabile,giallo,1.00000000
giallo,e,0.33333333,del,0.33333333,era,0.33333333
stivaletti,rossi,1.00000000
rossi,correva,1.00000000
correva,allegramente,1.00000000
allegramente,dietro,1.00000000
dietro,alla,1.00000000
alla,barchetta,1.00000000
tutt’altro,che,1.00000000
cessata,,,1.00000000
violenza,si,1.00000000
andava,finalmente,1.00000000
finalmente,allentando,1.00000000
allentando,.,1.00000000
tamburellava,sul,1.00000000
sul,cappuccio,1.00000000
cappuccio,giallo,1.00000000
bimbo,e,1.00000000
suonava,alle,0.50000000,für,0.50000000
alle,sue,1.00000000
sue,orecchie,1.00000000
orecchie,come,1.00000000
come,pioggia,0.50000000,bill,0.50000000
tettoia,:,1.00000000
:,un,1.00000000
rumore,amico,1.00000000
amico,,,1.00000000
intimo,.,1.00000000
l’impermeabile,giallo,1.00000000
george,denbrough,0.50000000,stava,0.50000000
denbrough,.,1.00000000
aveva,sei,0.33333333,dieci,0.33333333,confezionato,0.33333333
sei,anni,1.00000000
suo,fratello,1.00000000
fratello,william,1.00000000
william,,,1.00000000
conosciuto,fra,1.00000000
fra,i,0.50000000,gli,0.50000000
ragazzini,della,1.00000000
della,scuola,0.50000000,sua,0.50000000
scuola,elementare,1.00000000
elementare,di,1.00000000
(e,anche,1.00000000
gli,insegnanti,1.00000000
insegnanti,,,1.00000000
mai,avrebbero,1.00000000
avrebbero,usato,1.00000000
usato,quel,1.00000000
soprannome,in,1.00000000
presenza),come,1.00000000
bill,tartaglia,0.66666667,aveva,0.33333333
tartaglia,,,0.50000000,aveva,0.50000000
a,casa,0.25000000,smaltire,0.25000000,letto,0.25000000,una,0.25000000
casa,a,1.00000000
smaltire,i,1.00000000
postumi,di,1.00000000
brutta,influenza,1.00000000
influenza,.,1.00000000
nell’autunno,del,1.00000000
otto,mesi,1.00000000
mesi,prima,1.00000000
prima,che,0.50000000,dello,0.50000000
l’orrore,si,1.00000000
manifestasse,definitivamente,1.00000000
definitivamente,e,1.00000000
dello,scontro,1.00000000
scontro,finale,1.00000000
finale,,,1.00000000
dieci,anni,1.00000000
confezionato,la,1.00000000
stava,inseguendo,1.00000000
inseguendo,.,1.00000000
l’aveva,fabbricata,1.00000000
fabbricata,a,1.00000000
letto,,,1.00000000
seduto,con,1.00000000
schiena,appoggiata,1.00000000
appoggiata,a,1.00000000
pila,di,1.00000000
guanciali,,,1.00000000
mentre,la,1.00000000
loro,madre,1.00000000
madre,suonava,1.00000000
für,elise,1.00000000
elise,al,1.00000000
al,pianoforte,1.00000000
pianoforte,del,1.00000000
salotto,e,1.00000000
batteva,senza,1.00000000
posa,contro,1.00000000
contro,il,1.00000000
vetro,della,1.00000000
finestra,.,1.00000000
